train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.402817,0.318672,0.829661,0.791772
0.462191,0.379432,0.858931,0.827722
0.492154,0.40378,0.8653,0.828213
0.513271,0.419383,0.876913,0.843655
0.534192,0.428464,0.88591,0.852551
0.541564,0.433555,0.889299,0.85749
0.551535,0.436815,0.897008,0.864203
0.563812,0.445445,0.903954,0.870301
0.575256,0.455928,0.909354,0.879097
0.579811,0.452165,0.913636,0.883307
0.589868,0.45376,0.918125,0.88673
0.596839,0.460486,0.920716,0.887574
0.603446,0.465102,0.923296,0.891089
0.612553,0.470896,0.926748,0.892274
0.620071,0.47044,0.929906,0.89385
0.626147,0.471741,0.93245,0.895093
0.633811,0.47563,0.934716,0.897198
0.641425,0.480583,0.93814,0.90118
0.649968,0.485591,0.940673,0.902193
0.657538,0.487735,0.94331,0.903664
0.666423,0.490301,0.946499,0.906743
0.67336,0.499524,0.948411,0.908179
0.679358,0.502272,0.950075,0.90975
0.689128,0.512023,0.952586,0.91345
0.694419,0.512125,0.954097,0.914897
0.700344,0.516218,0.955936,0.916245
0.704294,0.521225,0.957401,0.918994
0.708784,0.521593,0.958772,0.920154
0.712065,0.520059,0.960046,0.920973
0.717972,0.521687,0.961382,0.922693
0.722014,0.526167,0.962435,0.923121
0.725287,0.526662,0.963292,0.92343
0.730083,0.52986,0.964383,0.924762
0.733758,0.531842,0.96525,0.92589
0.736895,0.533361,0.966178,0.927071
0.741617,0.537651,0.967118,0.927841
0.74538,0.541371,0.96779,0.92842
0.748683,0.540529,0.968694,0.92886
0.752467,0.543571,0.969317,0.929507
0.756841,0.548743,0.970203,0.930899
0.75948,0.550124,0.970863,0.931757
0.764127,0.553015,0.971824,0.932219
0.767358,0.556999,0.972474,0.932816
0.770492,0.559245,0.972909,0.933524
0.774382,0.56183,0.973666,0.934114
0.777875,0.561917,0.974173,0.934674
0.780936,0.562286,0.974778,0.935455
0.783388,0.563176,0.975135,0.935458
0.785833,0.568052,0.975595,0.936467
0.788329,0.567403,0.976011,0.937001
0.790268,0.568196,0.976523,0.937432
0.792313,0.570626,0.976842,0.937965
0.796087,0.571967,0.977369,0.938245
0.799019,0.574274,0.977825,0.938652
0.80142,0.577381,0.978258,0.938985
0.804458,0.580376,0.978794,0.939589
0.806633,0.585655,0.979076,0.939813
0.808993,0.587674,0.979558,0.940062
0.810572,0.587952,0.979771,0.940221
0.812736,0.589502,0.980137,0.940177
0.813177,0.591098,0.98025,0.940382
0.814917,0.592191,0.98057,0.940842
0.817817,0.595118,0.981008,0.941356
0.820285,0.596909,0.981281,0.941728
0.823487,0.59896,0.981694,0.942256
0.824698,0.598821,0.981918,0.942207
0.82687,0.599661,0.982304,0.942629
0.828846,0.601503,0.982627,0.942891
0.831392,0.601669,0.982948,0.942831
0.832832,0.602979,0.983138,0.942934
0.83522,0.605209,0.983462,0.943215
0.836557,0.605891,0.983654,0.943325
0.837566,0.608048,0.983802,0.943846
0.83846,0.606939,0.983928,0.943794
0.840375,0.608224,0.984124,0.943855
0.841492,0.610148,0.984274,0.943988
0.844164,0.612675,0.984577,0.944376
0.845828,0.614263,0.984776,0.944497
0.847764,0.614929,0.985081,0.944645
0.84921,0.615473,0.985253,0.944981
0.850405,0.61633,0.985412,0.945046
0.851023,0.617143,0.985499,0.945168
0.852564,0.61735,0.985731,0.945182
0.854133,0.61803,0.9859,0.945314
0.855468,0.618496,0.986081,0.945439
0.857152,0.620048,0.986329,0.945902
0.858839,0.620568,0.986521,0.945846
0.860124,0.620557,0.986656,0.94591
0.861069,0.62143,0.986756,0.945933
0.862278,0.622777,0.986873,0.945865
0.863827,0.623517,0.987101,0.946023
0.864606,0.624269,0.987208,0.946025
0.866156,0.624992,0.987379,0.946003
0.867288,0.62708,0.987525,0.946337
0.868714,0.628102,0.987683,0.946405
