train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.34307,0.238908,0.663636,0.628518
0.440136,0.305189,0.714267,0.675494
0.478108,0.327567,0.737375,0.689832
0.511842,0.357995,0.759742,0.712779
0.527213,0.371076,0.768412,0.714604
0.529224,0.378839,0.771358,0.722384
0.54858,0.383113,0.78998,0.732503
0.549101,0.385163,0.793255,0.735118
0.55871,0.394045,0.801467,0.745227
0.563292,0.400917,0.803923,0.748874
0.570338,0.405678,0.808211,0.754387
0.578896,0.410284,0.819045,0.764634
0.583253,0.413239,0.823347,0.767846
0.587912,0.417122,0.83086,0.775307
0.592165,0.419654,0.833001,0.77796
0.596369,0.42544,0.836004,0.781332
0.603941,0.429607,0.84661,0.786945
0.612078,0.431231,0.852446,0.790953
0.624492,0.433443,0.858644,0.792275
0.627505,0.439746,0.861683,0.796407
0.630385,0.441377,0.863072,0.796801
0.631247,0.442001,0.863873,0.796793
0.635067,0.444457,0.872042,0.806736
0.640893,0.447039,0.875237,0.810057
0.646409,0.449746,0.877997,0.811316
0.649667,0.452474,0.879048,0.814693
0.654165,0.456786,0.880534,0.815976
0.657606,0.458309,0.88223,0.816684
0.658587,0.458965,0.882761,0.81909
0.66233,0.461963,0.886671,0.819799
0.663299,0.461389,0.887672,0.820096
0.665967,0.464346,0.889246,0.823438
0.66843,0.466309,0.889744,0.82636
0.672582,0.468634,0.891178,0.828314
0.675714,0.471201,0.89144,0.829759
0.680639,0.473885,0.897299,0.834747
0.685942,0.478763,0.905391,0.840195
0.690023,0.481311,0.910101,0.845193
0.692819,0.483217,0.912396,0.847334
0.695388,0.486772,0.914999,0.853299
0.699711,0.490628,0.919294,0.861134
0.704275,0.493889,0.921378,0.864854
0.710923,0.498382,0.926575,0.870036
0.713795,0.501275,0.927184,0.871674
0.716661,0.503731,0.930294,0.875246
0.718009,0.505192,0.931582,0.876159
0.718343,0.506856,0.933769,0.879375
0.720326,0.50867,0.934965,0.881536
0.723083,0.509887,0.937029,0.885727
0.727184,0.512128,0.939283,0.887168
0.730851,0.514209,0.940541,0.887764
0.732492,0.515007,0.941486,0.888917
0.73467,0.516401,0.942255,0.890541
0.738052,0.520822,0.945123,0.896561
0.742116,0.522864,0.946594,0.898844
0.743722,0.524607,0.947559,0.900685
0.747592,0.529176,0.948974,0.902243
0.751659,0.531669,0.950523,0.90532
0.754994,0.534062,0.951789,0.9067
0.757995,0.534924,0.952994,0.906998
0.761248,0.535843,0.954685,0.908143
0.764008,0.536767,0.955419,0.908911
0.766714,0.538327,0.956666,0.909817
